,,,,,,
,,,,,,
,Codigo,unidad,Descripcion,PVP,%IVA ,Total
,6,1,"SERVEIS EXTRAORDINARIS:
TREBALLS EN FERRO I FUSTA SOL·LICITATS PER DIRECCIÓ (PORTES I BARANES MALMESES),
 REALITZATS ENTRE EL DIA 5/9 I EL 9/9 PER PART DE DOS OFICIALS ESPECIALITZATS.","575,00 €","120,75 €","695,75 €"
,11,1,"COMPRA DE MATERIALS:
COMPRA MATERIAL FERRO:
TUB 60MM 2.2MM GRUIX 6M
PLETINES 5MM 100X100MM PERFORADES TALLS I TORNILLERIA","132,93 €","27,92 €","160,85 €"
,11,1,"COMPRA DE MATERIALS
COMPRA MATERIALS FUSTA:
TAPETES
BATENTS
DM'S
JUNQUILLOS ESPECIFICS
MONTA-KIT (2)
TORNILLERIA","129,24 €","27,14 €","156,38 €"
,15,1,"Servei d'urgencia
Reparacio d'urgencia d'AACC
compressor 400W + sonda temperatura + neteja de filtres i bescanviadorde calor de la unitat exterior
Temps de treball, desplaçament i subministraments inclosos","288,00 €","60,48 €","348,48 €"
,6,1,"SERVEIS EXTRAORDINARIS:
e!Eliminar circuits obsolets QGP. Nou OGP mantenint 8+8 INR, terruptors amb control luminic 16 moduls.
DIFi termic TRIF, DIF i termic monofasic muntats sobre nou armari amb espai de resera, posada en marxa
i comprovacions","1.986,00 €","417,06 €","2.403,06 €"
,11,1,"Compra de Materials:
caixa de conexions","119,80 €","25,16 €","144,96 €"
,,,,,,"3.909,47 €"
